TIME,Lat_GPS,Lon_GPS,Target_Lat,Target_Lon,Theta,Theta_Target,Theta_Err,VL,VR,V_Aktual,Dist_GPS,Dist_Travelled,ETA_GPS,WP,MODE
45:29.7,-7.050816,110.391326,-7.050807,110.391464,266.08,266.4,0.32,0.83,0.78,0.81,15.18,6.34,18.83,0,1
45:30.0,-7.050816,110.391326,-7.050807,110.391464,267.63,266.4,-1.23,0.84,0.77,0.8,15.18,6.48,18.91,0,1
45:30.2,-7.050816,110.391326,-7.050807,110.391464,268.83,266.4,-2.43,1.19,1.12,1.16,15.18,6.69,13.14,0,1
45:30.3,-7.050816,110.391326,-7.050807,110.391464,268.62,266.4,-2.22,0.82,0.8,0.81,15.18,6.84,18.75,0,1
45:30.5,-7.050816,110.391326,-7.050807,110.391464,268.03,266.4,-1.64,0.78,0.82,0.8,15.18,6.98,18.91,0,1
45:30.7,-7.050816,110.391326,-7.050807,110.391464,266.86,266.4,-0.47,0.79,0.82,0.8,15.18,7.13,18.91,0,1
45:31.0,-7.050816,110.391326,-7.05081,110.391448,265.91,267.03,1.12,0.84,0.87,0.86,13.49,7.28,15.77,0,1
45:31.2,-7.050816,110.391326,-7.050812,110.391448,265.77,267.88,2.11,1.13,1.14,1.13,13.48,7.49,11.88,0,1
45:31.4,-7.050816,110.391326,-7.050812,110.391448,267.04,267.88,0.84,0.83,0.8,0.81,13.48,7.63,16.57,0,1
45:31.6,-7.050816,110.391326,-7.050812,110.391448,268.09,267.88,-0.22,0.84,0.74,0.79,13.48,7.77,17.09,0,1
45:31.7,-7.050816,110.391326,-7.050812,110.391448,269.47,267.88,-1.59,0.87,0.79,0.83,13.48,7.92,16.29,0,1
45:31.9,-7.050816,110.391326,-7.050812,110.391448,270.21,267.88,-2.33,0.83,0.79,0.81,13.48,8.07,16.64,0,1
45:32.1,-7.050816,110.391326,-7.050812,110.391448,269.78,267.88,-1.9,0.8,0.81,0.81,13.48,8.21,16.72,0,1
45:32.3,-7.050816,110.391326,-7.050812,110.391448,269.12,267.88,-1.24,0.83,0.86,0.84,13.48,8.37,15.96,0,1
45:32.5,-7.050816,110.391326,-7.050812,110.391448,268.82,267.88,-0.94,0.81,0.82,0.81,13.48,8.51,16.57,0,1
45:32.7,-7.050816,110.391326,-7.050812,110.391448,269.27,267.88,-1.4,1.08,1.07,1.08,13.48,8.71,12.54,0,1
45:32.9,-7.050816,110.391326,-7.050812,110.391448,269.47,267.88,-1.59,0.81,0.8,0.81,13.48,8.85,16.72,0,1
45:33.1,-7.050816,110.391326,-7.050812,110.391448,269.91,267.88,-2.03,0.82,0.81,0.81,13.48,9,16.57,0,1
45:33.3,-7.050816,110.391326,-7.050818,110.391426,269.74,271.03,1.29,0.82,0.81,0.82,10.95,9.14,13.4,0,1
45:33.6,-7.050816,110.391326,-7.050818,110.391426,269.09,271.03,1.95,0.8,0.84,0.82,10.95,9.29,13.29,0,1
45:33.7,-7.050816,110.391326,-7.050818,110.391426,269.78,271.03,1.25,1.22,1.18,1.2,10.95,9.51,9.12,0,1
45:33.9,-7.050816,110.391326,-7.050818,110.391426,269.78,271.03,1.25,1.22,0.77,0.8,10.96,9.65,13.77,0,1
45:34.1,-7.050816,110.391326,-7.050821,110.391426,270.69,272.58,1.89,0.82,0.75,0.79,10.96,9.79,13.95,0,1
45:34.3,-7.050816,110.391326,-7.050821,110.391426,271.33,272.58,1.25,0.85,0.8,0.83,10.96,9.94,13.25,0,1
45:34.6,-7.050816,110.391326,-7.050821,110.391426,272.79,272.58,-0.21,0.81,0.73,0.77,10.96,10.08,14.27,0,1
45:34.8,-7.050816,110.391326,-7.050821,110.391426,275.78,272.58,-3.2,1.26,1.14,1.2,10.96,10.3,9.15,0,1
45:34.9,-7.050816,110.391326,-7.050821,110.39141,277.24,273.6,-3.64,0.82,0.74,0.78,9.28,10.44,11.87,0,1
45:35.1,-7.050816,110.391326,-7.050821,110.39141,277.55,273.6,-3.94,0.81,0.79,0.8,9.28,10.58,11.61,0,1
45:35.3,-7.050816,110.391326,-7.050821,110.39141,276.93,273.6,-3.33,0.78,0.78,0.78,9.28,10.72,11.87,0,1
45:35.5,-7.050816,110.391326,-7.050822,110.39141,275.74,273.93,-1.81,0.76,0.83,0.8,9.28,10.86,11.66,0,1
45:35.7,-7.050816,110.391326,-7.050822,110.39141,274.74,273.93,-0.81,0.77,0.8,0.78,9.28,11,11.87,0,1
45:35.9,-7.050816,110.391326,-7.050822,110.39141,273.44,273.93,0.49,0.79,0.84,0.82,9.28,11.15,11.37,0,1
45:36.1,-7.050816,110.391326,-7.050822,110.39141,272.64,273.93,1.29,0.8,0.8,0.8,9.28,11.3,11.61,0,1
45:36.3,-7.050816,110.391326,-7.050822,110.39141,272.62,273.93,1.31,1.13,1.16,1.14,9.28,11.5,8.11,0,1
45:36.5,-7.050816,110.391326,-7.050824,110.391395,273.33,276.11,2.78,0.84,0.74,0.79,7.62,11.64,9.67,0,1
45:36.7,-7.050816,110.391326,-7.050824,110.391395,274.48,276.11,1.63,0.85,0.81,0.83,7.62,11.79,9.18,0,1
45:36.8,-7.050816,110.391326,-7.050825,110.391395,277.15,276.82,-0.33,0.87,0.75,0.81,7.64,11.94,9.43,0,1
45:37.0,-7.050816,110.391326,-7.050825,110.391395,278.99,276.82,-2.16,0.87,0.79,0.83,7.64,12.09,9.19,0,1
45:37.2,-7.050816,110.391326,-7.050825,110.391395,279.54,276.82,-2.71,0.83,0.78,0.81,7.64,12.23,9.47,0,1
45:37.4,-7.050816,110.391326,-7.050825,110.391395,279.33,276.82,-2.51,0.84,0.84,0.84,7.64,12.39,9.08,0,1
45:37.7,-7.050816,110.391326,-7.050825,110.391395,279.73,276.82,-2.91,0.8,0.84,0.82,7.64,12.53,9.35,0,1
45:37.9,-7.050816,110.391326,-7.050825,110.391395,279.34,276.82,-2.52,1.08,1.16,1.12,7.64,12.73,6.82,0,1
45:38.0,-7.050816,110.391326,-7.050827,110.39138,277.89,282.68,4.78,0.76,0.82,0.79,6.02,12.88,7.63,0,1
45:38.2,-7.050816,110.391326,-7.050827,110.39138,277.11,282.68,5.56,0.78,0.86,0.82,6.02,13.02,7.34,0,1
45:38.4,-7.050816,110.391326,-7.050827,110.39138,277.5,282.68,5.18,0.82,0.79,0.8,6.02,13.17,7.5,0,1
45:38.7,-7.050816,110.391326,-7.050827,110.39138,279.67,282.68,3.01,0.89,0.79,0.84,6.02,13.32,7.18,0,1
45:38.9,-7.050816,110.391326,-7.050827,110.39138,283.1,282.68,-0.42,1.24,1.07,1.15,6.02,13.53,5.22,0,1
45:39.1,-7.050816,110.391326,-7.050827,110.39138,285.07,282.68,-2.39,0.87,0.8,0.84,6.02,13.68,7.18,0,1
